state_abbr,subgroup_label,n_findings,avg_abs_resid,avg_pred,avg_poverty,transport_risk
MA,General/Mixed,440.0,0.9671497554353224,-0.021223140825905543,0.14228636363636363,0.052667460765395066
NH,General/Mixed,21.0,0.2018679698600429,0.11586425304443533,0.15176190476190476,0.05073649688587682
FL,High Poverty,45.0,0.19137959052887082,0.1588816051962267,0.772,0.0505537156934355
DC,High Poverty + High EL,14.0,0.10749594643934404,-0.04811790626885204,0.72,0.04941474025100053
ID,General/Mixed,37.0,0.24434453279735097,0.07082713931536776,0.16175675675675677,0.04666776165269405
WA,General/Mixed,497.0,0.8547039922162716,0.007715658422786935,0.20370020120724344,0.046148317430398336
AZ,High EL,53.0,0.270469452784932,0.1456556765241868,0.17162264150943396,0.04352793289371773
UT,General/Mixed,77.0,0.31240696352754627,0.2449423855087222,0.17564935064935067,0.0418555594752276
OH,General/Mixed,579.0,0.8199616374989139,0.05594117305018141,0.18375647668393782,0.040338209796678216
SD,General/Mixed,23.0,0.14665219325418347,0.24332229225606253,0.3021739130434783,0.03981930128652608
LA,High Poverty,31.0,0.11867987606770447,0.060313496127608515,0.7880645161290323,0.03811355175013034
WI,High Poverty,19.0,0.0930900042882884,0.03572431508698248,0.77,0.03780067162016622
NV,High EL,12.0,0.10635975043774688,0.039457243282326526,0.211,0.03718183589570871
MT,General/Mixed,9.0,0.09486905480434935,0.3364819113748521,0.1602222222222222,0.036689728528407996
PA,High EL,4.0,0.06258111225702032,-0.05294519170554529,0.172,0.036672531782613906
GA,High Poverty,230.0,0.3143988157474465,-0.07857385376450296,0.7126521739130435,0.035504725037251314
AK,General/Mixed,60.0,0.227454547688333,0.12226975320285285,0.18373333333333336,0.03475944844696947
MD,High EL,14.0,0.11397482734557796,-0.018581795571937582,0.1159999999999999,0.03399453615589677
MA,High EL,78.0,0.26280540509485545,-0.012453585382643633,0.1307051282051282,0.033646225680058886
MN,High EL,64.0,0.23540352386819527,0.019937219062561278,0.13871875,0.03350730080559831
DC,High Poverty,173.0,0.2580601556089584,0.02261828302676009,0.6889017341040463,0.03313616811006584
DE,General/Mixed,41.0,0.1837546233553003,0.011505905670130863,0.14826829268292682,0.032952602481031865
NY,High Poverty + High EL,45.0,0.11951358876942125,0.10682206902288399,0.8384444444444443,0.03275378857286717
NV,General/Mixed,60.0,0.1697186286406242,0.031414247154617894,0.4472333333333333,0.03170972280281765
