state_abbr,f_Outcome_Domain,findings_n
MN,Employment,30
MN,English language arts achievement,2
MN,General Literacy Achievement,1
MN,General Mathematics Achievement,73
MN,High School Completion,9
MN,"Industry-Recognized Credential, Certificate, or License",3
MN,Intrapersonal Competencies,12
MN,Literacy Achievement,1
MN,Primary school academic achievement,1
MN,Problem behavior,3
MN,Progressing in College,7
MN,Progressing in school,2
MN,Progressing in school (secondary school),7
MN,Progressing in secondary school or adult education,1
MN,Reading Fluency,2
MN,Reading achievement,37
MN,School Attendance,1
MN,School engagement,8
MN,Secondary school academic achievement,2
MN,Social-emotional competence,14
MN,Student Discipline,13
MO,Academic achievement,4
MO,Access and enrollment,3
MO,Alphabetics,7
MO,Behavior,4
MO,Cognition,4
MO,College Degree Attainment,22
MO,College Enrollment,25
MO,College Readiness,1
MO,Comprehension,16
MO,Earnings,11
MO,Employment,20
MO,English language arts achievement,4
MO,General Mathematics Achievement,53
MO,General academic achievement (college),4
MO,High School Completion,9
MO,"Industry-Recognized Credential, Certificate, or License",3
MO,Intrapersonal Competencies,19
MO,Progressing in school (secondary school),4
MO,Reading Fluency,12
MO,Receptive Communication,1
MO,School engagement,1
MO,Student Behavior,6
MO,Student Discipline,12
MO,Student emotional status,4
MO,Student engagement in school,4
MO,Teacher Practice,2
MO,Vocabulary,1
MO,Writing Conventions,1
MO,Writing Quality,3
MS,Academic achievement,3
MS,Alphabetics,5
MS,College Degree Attainment,22
MS,College Enrollment,25
MS,Completing school,1
MS,Comprehension,5
MS,Earnings,11
MS,Employment,20
MS,English language arts achievement,5
MS,General Mathematics Achievement,63
MS,High School Completion,9
MS,"Industry-Recognized Credential, Certificate, or License",3
MS,Intrapersonal Competencies,12
MS,Progressing in school,1
MS,Progressing in school (secondary school),4
MS,Reading Comprehension,1
MS,Reading achievement,2
MS,Student Discipline,12
MS,Word reading ,2
MS,Writing Conventions,1
MS,Writing Quality,3
MT,Academic achievement,4
MT,General Mathematics Achievement,8
NC,Academic achievement,44
NC,Access and enrollment,3
NC,Alphabetics,8
NC,Cognition,5
NC,College Degree Attainment,25
NC,College Enrollment,31
NC,Completing school,1
NC,Comprehension,10
NC,Earnings,11
NC,Emotional/internal behavior,2
NC,Employment,20
NC,English language arts achievement,17
NC,English language proficiency,1
NC,External behavior,11
NC,Financial aid enrollment,7
