state_abbr,i_InterventionID,i_Intervention_Name,findings_n,studies_n,weighted_outcome_sample,mean_effect_size_wwc,median_effect_size_wwc,pct_positive_effect_size,mean_improvement_index,intervention_name
FL,271.0,Dialogic Reading,8,1,471.0,0.2071815589021691,-0.004161892607738152,50.0,6.875,Dialogic Reading
FL,277.0,Shared Book Reading,10,2,232.0,0.152359630270189,0.13475915737346125,50.0,5.6,Shared Book Reading
FL,290.0,"Investigations in Number, Data, and Space®",24,1,4806.400000000001,-0.035791488519723066,-0.0296202721671157,25.0,-2.125,"Investigations in Number, Data, and Space®"
FL,309.0,Accelerated Math® ,2,1,321.75,0.14795002795549989,0.14795002795549989,100.0,5.5,Accelerated Math® 
FL,311.0,Scott Foresman-Addison Wesley Elementary Mathematics,6,1,1221.6000000000001,-0.09049112192376868,-0.0962381355216201,16.666666666666664,-3.8333333333333335,Scott Foresman-Addison Wesley Elementary Mathematics
FL,320.0,Talent Search,1,1,1800.0,,,,19.0,Talent Search
FL,321.0,Career Academies,3,1,710.1666666666666,0.0899708731321358,0.0899708731321358,100.0,7.0,Career Academies
FL,361.0,Voyager Universal Literacy System®,10,1,2130.0,0.025469501885634394,0.012020958554053052,50.0,1.0,Voyager Universal Literacy System®
FL,380.0,Transition Mathematics,3,1,220.20000000000002,0.19659720964456398,0.167228420541107,100.0,7.666666666666667,Transition Mathematics
FL,393.0,National Guard Youth ChalleNGe Program,1,1,119.60000000000001,,,,23.0,National Guard Youth ChalleNGe Program
FL,397.0,Curiosity Corner,9,1,586.3333333333333,,,,2.6666666666666665,Curiosity Corner
FL,418.0,Literacy Express,16,2,4177.0,0.1448933013128515,0.116055063173397,75.0,5.1875,Literacy Express
FL,464.0,Fast ForWord®,1,1,38.0,0.492861783237548,0.492861783237548,100.0,19.0,Fast ForWord®
FL,552.0,Earobics®,14,1,356.0,0.9177006590446846,0.8053111683063795,92.85714285714286,26.714285714285715,Earobics®
FL,621.0,New Chance,1,1,207.9,,,,8.0,New Chance
FL,665.0,Lindamood Phoneme Sequencing (LiPS),14,1,700.0,0.20315263969630565,0.10184692898257736,57.14285714285714,7.357142857142857,Lindamood Phoneme Sequencing (LiPS)
FL,718.0,Service and Conservation Corps,1,1,156.5,,,,-2.0,Service and Conservation Corps
FL,726.0,Project CRISS®,5,2,809.125,0.4167751107376831,0.0238062689731648,60.0,13.8,Project CRISS®
