f_FindingID,s_StudyID,state_abbr,region_name,analysis_year,saipe_child_poverty_rate_state,saipe_median_income_state,saipe_child_poverty_rate_region,saipe_median_income_region,saipe_child_poverty_rate_ctx,saipe_median_income_ctx
1560,29250,FL,South,2008,0.184,47802.0,0.21135294117647055,48053.0,0.184,47802.0
1566,29250,FL,South,2008,0.184,47802.0,0.21135294117647055,48053.0,0.184,47802.0
1562,29250,FL,South,2008,0.184,47802.0,0.21135294117647055,48053.0,0.184,47802.0
1563,29250,FL,South,2008,0.184,47802.0,0.21135294117647055,48053.0,0.184,47802.0
1564,29250,FL,South,2008,0.184,47802.0,0.21135294117647055,48053.0,0.184,47802.0
912,63798,NY,Northeast,2006,0.201,51340.0,0.1412222222222222,54140.666666666664,0.201,51340.0
982,23793,NY,Northeast,2007,0.196,53448.0,0.13911111111111107,56426.333333333336,0.196,53448.0
983,23793,NY,Northeast,2007,0.196,53448.0,0.13911111111111107,56426.333333333336,0.196,53448.0
1209,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
1210,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3755,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3756,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3757,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3758,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3759,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3760,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3761,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3762,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
1218,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
1219,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3770,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3771,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3772,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3773,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3774,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3775,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
